
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000416                       # Number of seconds simulated (Second)
simTicks                                    416373000                       # Number of ticks simulated (Tick)
finalTick                                   416373000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.79                       # Real time elapsed on the host (Second)
hostTickRate                                 86961792                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8725000                       # Number of bytes of host memory used (Byte)
simInsts                                      1000001                       # Number of instructions simulated (Count)
simOps                                        1111650                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     232130                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           832748                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1185372                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      508                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1176370                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    533                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                74209                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             43733                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  22                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              746390                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.576080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.009462                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     71.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead       197241     16.77%     88.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite       135336     11.50%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        1176370                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.412636                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               16906                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.014371                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  3091519                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 1245765                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         1143507                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                    25045                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                   14370                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses           11678                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     1180217                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                       12847                       # Number of vector alu accesses (Count)
system.cpu.numInsts                           1169421                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        195414                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      6944                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                2025                       # Number of nop insts executed (Count)
system.cpu.numRefs                             330200                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         225024                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       134786                       # Number of stores executed (Count)
system.cpu.numRate                           1.404292                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            7578                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           86358                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     1000001                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       1111650                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.832747                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.832747                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.200845                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.200845                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    1218579                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                    715490                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                      17356                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                      405627                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     398827                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                    163278                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                     2390                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads         189415                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        137591                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         9343                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         7689                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  240789                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            187100                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              4516                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               114233                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  112457                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.984453                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                   12334                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            3328                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2897                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              431                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          103                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           74111                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             486                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4059                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       735129                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.514708                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.386582                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          378592     51.50%     51.50% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          148932     20.26%     71.76% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2           61338      8.34%     80.10% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           35479      4.83%     84.93% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           20780      2.83%     87.76% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           10687      1.45%     89.21% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6            9447      1.29%     90.50% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           16768      2.28%     92.78% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8           53106      7.22%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total       735129                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              1001857                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                1113506                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      307422                       # Number of memory references committed (Count)
system.cpu.commit.loads                        176932                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                         475                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     216052                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions            10338                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                      980754                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                 11108                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          184      0.02%      0.02% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       796985     71.57%     71.59% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult         3693      0.33%     71.92% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv          912      0.08%     72.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          438      0.04%     72.04% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            6      0.00%     72.04% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     72.04% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult           15      0.00%     72.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc           21      0.00%     72.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            9      0.00%     72.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc         1629      0.15%     72.19% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     72.19% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          429      0.04%     72.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     72.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          645      0.06%     72.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp          594      0.05%     72.34% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     72.34% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          524      0.05%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     72.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     72.39% # Class of committed instruction (Count)
